Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type, Kyle_Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,6032021,Grab,131-TVFF21,TVFF21-001,938.7,0.632490518,1484.132921,NA,0.0003,NA,NA,NA,0.0107,NA,NA,NA,0.002,0.0002,0.006,0.0001,0.0001,NA,0.0001,0.0005,NA,0.0002,0.0007,0.0019,NA,0.0046,0.0002,0.0014,NA,0.0386,NA,0,0.0001,0.0001,0.0004,0,NA,0.0031,NA,0,NA,0.0001,0.0001,0.0001,NA,NA,NA,0.001,NA,NA,0.0001,0.0003,NA,0.0001,0.72,0.02,1.05,TVFF21-001,0.028,0.01,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6032021,Grab,132-TVFF21,TVFF21-002,629,0.894184576,703.4341867,NA,0.0003,NA,NA,NA,0.0143,NA,NA,NA,0.0009,0,0.0581,0.0004,0.0006,NA,0,0.0013,NA,0.0034,0,0.0003,NA,0.0009,NA,0,NA,0.0119,0,0,0,0,0.0003,NA,0.0011,0.0015,NA,0,NA,0.0003,NA,0,NA,0,NA,0.0049,NA,NA,NA,0.0005,NA,0,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,6032021,Grab,133-TVFF21,TVFF21-003,987.3,0.887231353,1112.787546,NA,0.0001,NA,NA,NA,0.0046,NA,NA,NA,0.001,0,0.0187,0.0002,0.0001,NA,NA,0.0004,NA,0.0012,NA,NA,NA,0.0008,NA,0,NA,0.0899,0,NA,0,NA,0.0004,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0008,NA,NA,NA,0.0002,NA,NA,2.47,0.02,3.69,TVFF21-003,0.065,0.01,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6032021,Grab,134-TVFF21,TVFF21-004,905.7,0.549557522,1648.05314,NA,0.0019,NA,NA,NA,0.1855,NA,NA,NA,0.0026,0.0001,0.0403,0.0002,0.0005,NA,0,0.0018,NA,0.0029,NA,NA,NA,0,NA,0,NA,0.0076,0,0,0,0,0.0022,NA,0.0023,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0072,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6032021,Grab,135-TVFF21,TVFF21-005,957.5,0.71011378,1348.375467,NA,NA,NA,NA,NA,0.005,NA,NA,NA,0,0,NA,0.0005,0,0.2038,NA,0.0003,NA,0.0089,NA,0.0001,0.2038,NA,NA,0,NA,NA,0.0003,0.0001,NA,NA,0.0019,NA,0.0006,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0009,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,6032021,Grab,136-TVFF21,TVFF21-006,943.9,1.071302149,881.0772954,NA,NA,NA,NA,NA,0.0043,NA,NA,NA,0.0008,0,0.0619,NA,0.0001,0.204,0,0.0002,NA,0.0061,NA,NA,0.204,0.0001,NA,0,NA,0.0039,0.0003,NA,NA,0,0.0009,NA,NA,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6032021,Grab,137-TVFF21,TVFF21-007,941.1,0.835018963,1127.040273,NA,0.0001,NA,NA,NA,0.0062,NA,NA,NA,0.0013,0,NA,0.0029,0.0007,0.2039,NA,0.0003,NA,0.0005,NA,0,0.2039,NA,NA,0,NA,0.0365,0,0,0,NA,0.0003,NA,0.0014,NA,NA,NA,0.0005,0.0005,NA,0,NA,NA,NA,0.0023,NA,NA,0,0.0004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,6032021,Grab,138-TVFF21,TVFF21-009,944.1,0.981921618,961.4820396,NA,0.0001,NA,NA,NA,0.0052,NA,NA,NA,0.0001,NA,NA,0,0.0001,NA,NA,0.0003,NA,0.0186,NA,NA,NA,0.0001,NA,NA,NA,0.0627,NA,0.0001,NA,NA,0,NA,0.0006,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0026,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6032021,Grab,139-TVFF21,TVFF21-008,914,0.849936789,1075.374089,NA,0.0014,NA,NA,NA,0.0253,NA,NA,NA,0.0018,0.0001,NA,0.002,0.0004,NA,NA,0.0007,NA,0.0027,NA,0.0001,NA,NA,NA,0,NA,0.0734,NA,0,NA,NA,NA,NA,0.0005,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,6172021,Grab,140-TVFF21,TVFF21-010,1046.2,0.879266751,1189.855068,NA,0.0003,NA,NA,NA,0.004,NA,NA,NA,0.0009,NA,0.0028,NA,0.0002,NA,NA,0.0009,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0784,NA,0,NA,NA,NA,NA,0.0003,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,1.09,0.02,1.61,TVFF21-010,0.109,0.01,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6172021,Grab,141-TVFF21,TVFF21-011,1003.1,0.948419722,1057.654092,NA,NA,NA,NA,NA,0.0028,NA,NA,NA,0.0008,0,0.0077,0.0008,0.0002,NA,NA,0.0003,NA,0.0004,NA,NA,NA,NA,NA,NA,NA,0.0441,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0002,NA,0,NA,0,NA,0.0008,NA,NA,NA,NA,NA,NA,2.39,0.02,3.56,TVFF21-011,0.143,0.01,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,6172021,Grab,142-TVFF21,TVFF21-012,1001.8,0.859924147,1164.986474,NA,0.0001,NA,NA,NA,0.0036,NA,NA,NA,0.0009,0,0.0065,0.0005,0.0003,NA,NA,0.0006,NA,0.0006,NA,NA,NA,0,NA,0,NA,0.0704,NA,0,0,NA,0.0002,NA,NA,NA,NA,NA,NA,0.0003,0.0001,0,NA,NA,NA,0.0017,NA,NA,NA,NA,NA,NA,2.57,0.02,3.83,TVFF21-012,0.119,0.01,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6172021,Grab,143-TVFF21,TVFF21-013,1008.7,0.904804046,1114.827022,NA,0.0001,NA,NA,NA,0.0014,NA,NA,NA,0.0008,0,0.0073,0.0002,0.0005,NA,NA,0.0002,NA,0.0006,NA,NA,NA,NA,NA,0,NA,0.0939,NA,0,0,NA,0.0002,NA,NA,NA,NA,NA,NA,0.0003,0.0001,0.0002,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,NA,2.69,0.02,4.01,TVFF21-013,0.089,0.01,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6172021,Grab,144-TVFF21,TVFF21-014,1001.1,0.811630847,1233.442523,NA,0.0002,NA,NA,NA,0.0015,NA,NA,NA,0.0006,NA,0.0076,0.0002,0.0005,NA,NA,0.0006,NA,0.0014,NA,NA,NA,NA,NA,0,NA,0.0648,0,0,0,NA,0.0003,NA,0.0007,NA,NA,NA,NA,0,NA,0.0002,NA,0,NA,0.0011,NA,NA,NA,NA,NA,NA,2.06,0.02,3.07,TVFF21-014,0.165,0.01,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,6172021,Grab,145-TVFF21,TVFF21-015,1001.7,0.805562579,1243.478814,NA,0.0012,NA,NA,NA,0.0017,NA,NA,NA,0.0007,0.0001,0.0103,0,0,NA,NA,0.0003,NA,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0463,0,0,NA,NA,0.0002,NA,NA,NA,NA,NA,NA,0.0002,NA,0.0006,NA,NA,NA,0.0009,NA,NA,NA,NA,NA,NA,2.57,0.02,3.83,TVFF21-015,0.099,0.01,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6172021,Grab,146-TVFF21,TVFF21-016,997.8,0.904804046,1102.780215,NA,NA,NA,NA,NA,0.0031,NA,NA,NA,0.0009,NA,0.0135,0.0026,0.0001,NA,NA,0.0003,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,0.1024,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0.0001,NA,NA,NA,0.0002,NA,0.0024,NA,NA,NA,0.0008,NA,NA,1.38,0.02,2.05,TVFF21-016,0.137,0.01,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,6172021,Grab,147-TVFF21,TVFF21-018,992.5,0.622756005,1593.722087,NA,0.0002,NA,NA,NA,0.0084,0.0001,NA,NA,0.0021,0,0.0125,0,0.0002,NA,0,0.0003,NA,0.0014,0.0004,0.0012,NA,0.0049,0.0048,0.0009,NA,NA,NA,0,NA,0,0.0002,0.0002,0.0004,0.0022,NA,0,NA,0.0002,0.0022,0,NA,NA,NA,0.0164,NA,NA,0,0.0001,NA,0.0001,2.75,0.02,4.1,TVFF21-018,0.089,0.01,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6172021,Grab,148-TVFF21,TVFF21-017,1002.8,0.759418458,1320.484101,NA,0.0002,0.0002,NA,NA,0.0028,NA,NA,NA,0.0013,0.0001,0.0138,0.0022,0.0001,NA,NA,0.0004,NA,0.0003,NA,0.0001,NA,0.0014,0.0009,0.0003,NA,0.0472,0,0,0,NA,0,NA,0.0019,0.24,NA,NA,NA,0.0001,0.0002,NA,NA,0.0001,NA,0.0015,NA,NA,NA,0.0004,NA,NA,1.61,0.02,2.39,TVFF21-017,0.114,0.01,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Blank 6172021,All ,10,6172021,Grab,149-TVFF21,NA,1000,0.983312263,1016.970944,NA,0.002,NA,NA,NA,0.0182,NA,NA,NA,0.0025,NA,0.0002,0,0,NA,NA,0.0005,NA,NA,NA,0.0001,NA,0.0006,NA,0.0001,NA,0.0761,NA,0,0,NA,0.0003,NA,0.0002,0.2401,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,0.0019,NA,NA,0,0.0008,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,6292021,Grab,150-TVFF21,TVFF21-019/020,923.7,0.929582807,993.6715622,NA,0.0005,NA,NA,NA,0.0032,NA,NA,NA,0.0012,0,0.002,NA,0.0004,NA,NA,0.0003,NA,0,NA,NA,NA,0.0004,NA,0.0001,NA,0.0593,0,0,NA,NA,0,NA,NA,0.2401,NA,NA,NA,0.0003,0,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,NA,1.38,0.02,2.05,TVFF21-020,0.011,0.01,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6292021,Grab,151-TVFF21,TVFF21-021/022,1006.8,0.772060683,1304.042574,NA,0.0043,NA,NA,NA,0.0064,NA,NA,NA,0.0011,NA,0.0056,0.0008,0,NA,0,0.0004,NA,0,NA,NA,NA,NA,NA,0,NA,0.078,NA,0,0,0,NA,NA,0.0007,0.2401,NA,0,NA,0.0001,NA,NA,NA,NA,NA,0.0006,NA,NA,NA,NA,NA,NA,2.57,0.02,3.83,TVFF21-022,0.015,0.01,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,6292021,Grab,152-TVFF21,TVFF21-023/024,1003.7,0.808849558,1240.898249,NA,NA,NA,NA,NA,0.0061,NA,NA,NA,0.0011,NA,0.005,0.0004,0.0001,NA,NA,0.0005,NA,0.0002,NA,NA,NA,NA,NA,0,NA,0.0603,NA,0.0001,0,NA,0.0014,NA,0.0005,0,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0019,NA,NA,NA,NA,NA,NA,2.59,0.02,3.87,TVFF21-024,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6292021,Grab,153-TVFF21,TVFF21-025/026,1004.9,0.752591656,1335.252646,NA,0.0001,NA,NA,NA,0.0253,NA,NA,NA,0.0028,0,0.004,0.0002,0,NA,0,0.0003,NA,0.0002,NA,NA,NA,0,NA,0,NA,0.0366,NA,0,0,0,0.0009,NA,0.0002,0,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0019,NA,NA,NA,NA,NA,NA,1.75,0.02,2.6,TVFF21-026,0.017,0.01,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6292021,Grab,154-TVFF21,TVFF21-027/028,983.2,0.837420986,1174.080918,NA,0.0008,NA,NA,0.0166,0.0053,NA,NA,NA,0.0009,NA,0.0045,0.0002,0.0001,NA,0,0.0004,NA,0.0001,NA,NA,NA,0,NA,0,NA,0.0533,NA,0,0,0,0.0003,NA,NA,0.2401,NA,NA,NA,0.0003,NA,0,NA,NA,NA,0.0047,0,NA,NA,NA,NA,NA,2.28,0.02,3.4,TVFF21-028,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,6302021,Grab,155-TVFF21,TVFF21-029/030,922.4,0.794184576,1161.442853,NA,NA,NA,NA,0.021,0.013,NA,NA,NA,0.0017,NA,0.0088,0,0.0003,0.2039,NA,0.0002,NA,0.002,NA,NA,0.2039,NA,NA,0,NA,0.0397,0,0.0001,NA,NA,0.0004,NA,0.0004,0,NA,NA,NA,0.0002,NA,0,NA,0.0004,NA,0.0021,NA,0.0002,NA,NA,NA,NA,3.14,0.02,4.68,TVFF21-030,0.03,0.01,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6302021,Grab,156-TVFF21,TVFF21-031/032,1001.4,0.824020228,1215.261429,NA,0.0004,NA,NA,NA,0.0106,NA,NA,NA,0.0024,0,0.0109,0.0025,0,NA,NA,0.0003,NA,NA,NA,0.0001,NA,NA,0.0001,0,NA,NA,NA,0.0001,0,NA,0.0008,NA,0.0011,0.2401,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0021,NA,NA,NA,0.0003,NA,NA,1.41,0.02,2.09,TVFF21-032,0.091,0.01,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,6302021,Grab,157-TVFF21,TVFF21-033/034,1007.6,0.740707965,1360.32019,NA,0.0001,NA,NA,NA,0.0044,NA,NA,NA,0.001,0,0.0103,NA,0.0002,NA,NA,0.0001,NA,0.0012,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.0031,NA,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0016,NA,NA,NA,NA,NA,NA,2.77,0.02,4.14,TVFF21-034,0.04,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6302021,Grab,158-TVFF21,TVFF21-035/036,1000.3,0.945385588,1058.086788,NA,NA,NA,NA,NA,0.012,NA,NA,NA,0.0012,0,0.011,0.0015,0.0001,NA,NA,0.0003,NA,0.0002,NA,0.0001,NA,NA,NA,NA,NA,0.082,0,0,0,NA,NA,NA,0.003,NA,NA,0,NA,0.0001,NA,0,NA,NA,NA,0.0019,NA,NA,NA,0.0001,NA,NA,1.71,0.02,2.54,TVFF21-036,0.071,0.01,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
