Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type, Kyle_Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Blank_6292021_6302021,All ,10,6302021,Grab,159-TVFF21,Field Blank_6292021_6302021,1020.2,0.981036662,1039.920361,NA,0.0006,NA,NA,NA,0.0336,NA,NA,NA,0.0038,NA,0.0001,0,NA,NA,0,0.001,NA,0.0003,NA,NA,NA,0,NA,NA,NA,0.0741,NA,0,NA,0,NA,NA,NA,NA,NA,0.0001,NA,0.0001,NA,NA,NA,NA,NA,0.0039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,7152021,Grab,160-TVFF21,TVFF21-055/056,1009.2,1.165233881,866.092221,NA,0.0001,NA,NA,NA,0.0054,NA,NA,NA,0.0012,0,0.005,NA,0.0003,0.2039,NA,0.0006,NA,0.0003,NA,0.0001,0.2039,NA,NA,0,NA,0.0064,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,1.43,0.02,2.13,TVFF21-055,0.018,0.01,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,7152021,Grab,161-TVFF21,TVFF21-057/058,1002,1.014664981,987.5180663,NA,0.0026,NA,NA,NA,0.0683,NA,NA,NA,0.0009,0,0.0053,0.0009,0.0003,NA,0,0.0003,NA,0.0001,NA,0,NA,NA,NA,NA,NA,0.0032,0,0,0,0,0,NA,0.0114,NA,NA,0.0001,NA,0.0002,NA,NA,NA,NA,NA,0.0017,NA,NA,NA,NA,NA,NA,2.42,0.02,3.61,TVFF21-057,0.026,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,7152021,Grab,162-TVFF21,TVFF21-059/060,996.8,1.384070796,720.1943736,NA,0.0002,NA,NA,NA,0.0125,NA,NA,NA,0,0,0.0048,0.0003,0.0003,NA,NA,0.0003,NA,0.0001,0,NA,NA,0.0002,NA,0,NA,0.0321,NA,0,0,NA,0.0003,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0013,NA,NA,NA,NA,NA,NA,2.39,0.02,3.56,TVFF21-059,0.027,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,7152021,Grab,163-TVFF21,TVFF21-061/062,992.8,0.971554994,1021.867013,NA,0.0006,NA,NA,NA,0.0063,NA,NA,NA,0.0023,0.0001,0.0048,0.0002,0.0003,NA,0,0.0003,NA,0.0002,0,0.0001,NA,0.0047,0.0046,0.0012,NA,0.1198,NA,0.0001,0.0001,0,0.0005,NA,0.0003,0.0033,NA,0.0002,NA,0.0001,0.0018,NA,NA,NA,NA,0.0006,NA,NA,0,0.0002,NA,0,2.05,0.02,3.05,TVFF21-061,0.026,0.01,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,7152021,Grab,164-TVFF21,TVFF21-063/064,1013,1.179393173,858.9162827,NA,NA,NA,NA,NA,0.0045,NA,NA,NA,0.0014,NA,0.0046,0.0002,0.0001,NA,NA,0.0003,NA,0,0,0.0001,NA,0.0012,0.0001,0.0003,NA,0.0344,NA,0,0,NA,0.0002,NA,0.0004,0.2396,NA,NA,NA,0.0002,0.0001,NA,NA,0,NA,0.0007,NA,NA,NA,0.0005,NA,NA,1.73,0.02,2.56,TVFF21-063,0.023,0.01,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,7152021,Grab,165-TVFF21,TVFF21-065/066,989.7,0.884576485,1118.840504,NA,0.0005,NA,NA,NA,0.0028,NA,NA,NA,0.0012,0,0.0085,0,0,NA,NA,0.0002,NA,0.0013,NA,NA,NA,0.0004,NA,0.0001,NA,0.0649,0,0,0,NA,0.001,NA,0.002,0.2401,NA,0.0001,NA,0.0003,NA,0,NA,0.0001,NA,0.001,NA,NA,NA,NA,NA,NA,2.43,0.02,3.62,TVFF21-065,0.112,0.01,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,7152021,Grab,166-TVFF21,TVFF21-067/068,996.4,1.134513274,878.2620907,NA,NA,NA,NA,NA,0.0187,NA,NA,NA,0.001,0,0.0149,0.0044,0.0002,NA,NA,0.0002,NA,0.0002,NA,0.0001,NA,0.0002,NA,0,NA,0.0637,0,0,0,NA,0.0037,NA,0.0008,0.2401,NA,NA,NA,0.0002,NA,0,NA,0,NA,0.0019,NA,NA,NA,0.0003,NA,NA,1.9,0.02,2.82,TVFF21-067,0.045,0.01,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,7152021,Grab,167-TVFF21,TVFF21-069/070,988.9,1.015423515,973.8793571,NA,0.0002,NA,NA,NA,0.0028,NA,NA,NA,0.0009,NA,0.0062,NA,0.0003,NA,0,0.0003,NA,0.0012,NA,NA,NA,NA,NA,0,NA,0.0694,NA,0,0,0,NA,NA,0.0006,0.2401,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,2.7,0.02,4.03,TVFF21-069,0.036,0.01,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,7152021,Grab,168-TVFF21,TVFF21-071/072,1024.8,1.286346397,796.6749877,NA,NA,NA,NA,NA,0.0226,NA,NA,NA,0.0009,0.0001,0.0122,0.0034,0.0002,NA,NA,0.0003,NA,0.0003,NA,NA,NA,0.0002,NA,0,NA,0.0147,0,0,NA,NA,0.0001,NA,0.0004,0,NA,0.0001,NA,0.0002,NA,NA,NA,NA,NA,0.0013,NA,NA,NA,0.0007,NA,NA,1.87,0.02,2.77,TVFF21-071,0.048,0.01,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Blank 7/15/21,All ,10,7152021,Grab,169-TVFF21,,977.3,1.32920354,735.2523301,NA,0,NA,NA,NA,0.0071,NA,NA,NA,0.0017,NA,0.0002,0,NA,NA,0,0.0047,NA,NA,NA,NA,NA,0.0001,NA,NA,NA,0.078,NA,0,NA,0,0,NA,NA,0.2401,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,7302021,Grab,180-TVFF21,TVFF21-073/074,954.8,1.082427307,882.0915676,NA,0,NA,NA,NA,0.0036,0.0001,NA,NA,0.0029,0.0003,0.0024,0.0001,0.0002,NA,NA,0.0004,NA,0,0.0005,0.0015,NA,0.0029,0.0026,0.001,NA,0.0023,0,0,0.0002,NA,0.0001,NA,0.0005,0.0066,NA,0,NA,0.0001,NA,0.0001,NA,NA,NA,0.0016,NA,NA,0,0.0004,NA,0.0001,1.65,0.02,2.45,TVFF21-073,0.013,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,7302021,Grab,181-TVFF21,TVFF21-075/076,957.3,0.836662453,1144.189029,NA,0.0006,NA,NA,NA,0.009,NA,NA,NA,0.0018,NA,0.0043,0.0005,0,NA,NA,0.0004,NA,NA,0,0.0001,NA,0.0005,0.0002,0.0002,NA,0.0081,NA,0,0,NA,0.0001,NA,0.0007,0.0024,NA,0,NA,0.0004,0.0001,0,NA,NA,NA,0.0013,NA,NA,NA,0.0006,NA,0,2.63,0.02,3.93,TVFF21-075,0.013,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,7302021,Grab,182-TVFF21,TVFF21-077/078,989.7,1.266750948,781.2901199,NA,0.0002,NA,NA,NA,0.0072,NA,NA,NA,0.0014,0.0001,0.0036,0.0002,0.0001,NA,NA,0.0004,NA,0,0,NA,NA,0.0003,NA,0.0001,NA,0.0447,NA,0,0,NA,0.0003,NA,0.0011,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0005,NA,NA,NA,0.0004,NA,NA,2.55,0.02,3.81,TVFF21-077,0.016,0.01,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,7302021,Grab,183-TVFF21,TVFF21-079/080,955.3,0.891782554,1071.225262,NA,0.0004,NA,NA,NA,0.0092,NA,NA,NA,0.0016,0.0001,0.0032,0.0001,0.0007,NA,NA,0.0004,NA,0,NA,NA,NA,NA,NA,0,NA,0.0308,NA,0,0,NA,0.0011,NA,NA,0.2393,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.001,NA,NA,NA,0.0005,NA,NA,1.92,0.02,2.86,TVFF21-079,0.017,0.01,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,7302021,Grab,184-TVFF21,TVFF21-081/082,944.2,0.863843236,1093.022392,NA,0.0004,NA,NA,NA,0.0054,NA,NA,NA,0.0014,NA,0.003,0.0001,0.0003,NA,NA,0.0003,NA,0,NA,NA,NA,0.0001,NA,0.0001,NA,0.0446,NA,0,0,NA,0.0004,NA,0.0003,0.2401,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0009,NA,NA,NA,0.0004,NA,NA,1.5,0.02,2.23,TVFF21-081,0.015,0.01,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,7302021,Grab,185-TVFF21,TVFF21-083/084,946.6,0.963337547,982.6254597,NA,0.0003,NA,NA,NA,0.0038,NA,NA,NA,0.001,0,0.0072,NA,0.0001,NA,NA,0.0004,NA,0.0006,NA,NA,NA,NA,NA,0,NA,0.0378,0,0,0,NA,0.0001,NA,0.0006,0.24,NA,NA,NA,0.0004,0,0,NA,NA,NA,0.0011,NA,NA,NA,NA,NA,NA,2.26,0.02,3.36,TVFF21-083,0.031,0.01,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,7302021,Grab,186-TVFF21,TVFF21-085/086,950.9,0.843994943,1126.665518,NA,0.0001,NA,NA,NA,0.0129,NA,NA,NA,0.001,NA,0.004,0.0024,0,NA,NA,0.0006,NA,0.0002,NA,NA,NA,0,NA,0,NA,NA,0,0,0,NA,0.0005,NA,0.0009,0.24,NA,NA,NA,0.0003,NA,NA,NA,0.0004,NA,0.0023,NA,NA,NA,0.0014,NA,0,1.78,0.02,2.65,TVFF21-085,0.053,0.01,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,7302021,Grab,187-TVFF21,TVFF21-087/88,946.9,1.008723135,938.7114929,NA,0.0001,NA,NA,0.0216,0.0092,NA,NA,NA,0.0011,0.0001,0.0035,NA,0,NA,NA,0.0003,NA,0.0004,NA,NA,NA,0,0.0002,0,NA,0.052,NA,0,0,NA,0.0001,NA,0.0004,NA,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.013,0,NA,NA,NA,NA,NA,2.76,0.02,4.11,TVFF21-087,0.038,0.01,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,7302021,Grab,188-TVFF21,TVFF21-089/90,946,0.983817952,961.5600102,NA,0.0004,NA,NA,NA,0.009,NA,NA,NA,0.0012,NA,0.0043,0.0017,0,0.2042,NA,0.0005,NA,0.0001,NA,NA,0.2042,NA,NA,NA,NA,NA,NA,0,0,NA,0.0005,NA,0.0035,0.2401,NA,NA,NA,0.0003,NA,NA,NA,0.0001,NA,0.0024,NA,NA,NA,0.0017,NA,0,1.89,0.02,2.81,TVFF21-089,0.048,0.01,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Blank_7302021,All ,10,7302021,Grab,189-TVFF21,- ,931.1,1.087989886,855.7983966,NA,0.0005,NA,NA,NA,0.0114,NA,NA,NA,0.0041,NA,0.0001,0,NA,NA,NA,0.0009,NA,NA,NA,NA,NA,0,NA,0.0001,NA,0.0285,NA,0,0,NA,NA,NA,NA,0.2401,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,0.0021,NA,NA,NA,0.0009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,8122021,Grab,190-TVFF21,TVFF21-0091,987.5,1.000379267,987.1256158,NA,0.0016,NA,NA,NA,0.0091,NA,NA,NA,0.0007,0,0.0021,NA,0.0004,NA,NA,0.0006,NA,0,NA,NA,NA,NA,NA,0,NA,0.0368,NA,0,NA,NA,0.0008,NA,0.0017,0.2401,NA,0,NA,0.0003,NA,NA,NA,0.0001,NA,0.0021,NA,NA,NA,NA,NA,NA,1.6,0.02,2.38,TVFF21-0091,0.014,0.01,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,8122021,Grab,191-TVFF21,TVFF21-0092,980.9,0.961567636,1020.105049,NA,0.0003,NA,NA,NA,0.0086,NA,NA,NA,0.0015,NA,0.0037,0.0003,0.0005,NA,NA,0.0005,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0879,NA,0,0,NA,0,NA,0.0012,NA,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,NA,2.67,0.02,3.98,TVFF21-0092,0.013,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,8122021,Grab,192-TVFF21,TVFF21-0093,999,0.988242731,1010.88525,NA,0.0003,NA,NA,NA,0.008,NA,NA,NA,0.0011,0,0.0034,0.0002,0,NA,NA,0.0008,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0637,NA,0,0,NA,0.0004,NA,0.0005,NA,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,2.44,0.02,3.64,TVFF21-0093,0.021,0.01,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,8122021,Grab,193-TVFF21,TVFF21-0094,991.3,0.81517067,1216.064361,NA,0.0001,NA,NA,NA,0.011,NA,NA,NA,0,0,0.0024,0.0001,0,NA,NA,0.0005,NA,0,NA,NA,NA,0,NA,NA,NA,0.0402,NA,0.0001,0,NA,0.002,NA,NA,0.2401,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,1.75,0.02,2.6,TVFF21-0094,0.017,0.01,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,8122021,Grab,194-TVFF21,TVFF21-0095,990.6,1.265613148,782.703626,NA,0.0008,NA,NA,NA,0.0143,NA,NA,NA,0.0012,0,0.0021,0.0001,0.0003,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0415,NA,0,0,NA,0.0025,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0015,NA,NA,NA,NA,NA,NA,1.29,0.02,1.91,TVFF21-0095,0.017,0.01,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,8122021,Grab,195-TVFF21,TVFF21-0096,1000.7,0.960556258,1041.792182,NA,0.0006,NA,NA,NA,0.006,NA,NA,NA,0.0013,0,0.0051,NA,0,NA,NA,0.0003,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,0.1067,NA,NA,NA,NA,0.0001,NA,0.0021,NA,NA,0,NA,0.0004,NA,0,NA,NA,NA,0.0012,NA,NA,NA,NA,NA,NA,2.5,0.02,3.72,TVFF21-0096,0.032,0.01,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,8122021,Grab,196-TVFF21,TVFF21-0097,995.7,0.928824273,1072.000408,NA,0.0008,NA,NA,NA,0.0245,0.0003,NA,NA,0.0018,NA,0.0028,0.0023,0.0001,NA,NA,0.0004,NA,0,0.0002,0.0006,NA,0.0028,0.0006,0.0005,NA,0.0725,NA,0.0001,0.0002,NA,0.0005,0.0002,0.0007,0.0043,NA,0,NA,0.0004,0.0004,0,NA,0.0002,NA,0.0033,NA,NA,0,0.0023,NA,0.0001,1.08,0.02,1.59,TVFF21-0097,0.044,0.01,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,8122021,Grab,197-TVFF21,TVFF21-0098,989.8,0.911757269,1085.595952,NA,0.0003,NA,NA,NA,0.0136,NA,NA,NA,0.0014,NA,0.0039,0,0,NA,NA,0.0003,NA,0.0002,NA,NA,NA,0.0005,NA,0.0001,NA,0.0305,NA,NA,0,NA,0.0002,NA,0.0029,0.2397,NA,NA,NA,0.0004,0.0001,NA,NA,NA,NA,0.0054,NA,NA,NA,NA,NA,NA,2.52,0.02,3.75,TVFF21-0098,0.039,0.01,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,8122021,Grab,198-TVFF21,TVFF21-0099,982.1,0.945385588,1038.835384,NA,0.0002,NA,NA,NA,0.0213,NA,NA,NA,0.0011,NA,0.003,0.0019,0,NA,NA,0.0007,NA,0.0002,NA,NA,NA,NA,NA,0,NA,0.1046,NA,0,0,NA,0.0003,NA,0.0021,0.2398,NA,NA,NA,0.0003,NA,NA,NA,0.0001,NA,0.0034,NA,NA,NA,0.0006,NA,NA,1.35,0.02,2.01,TVFF21-0099,0.047,0.01,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
