Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type,ÊKyle_Sample_ID,Running_Number,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,6172021,POCIS ,1-TVFF21,TVFF21-010P,0.0016,0.000723,0.00024,0.007,0.0046,0.0036,0.025,0.0025,0.0016,0.0003,0.0137,0.0001,0.0001,1.0483,0.0002,0.0003,0.0023,2.4411,1.6135,0.0033,1.0483,0.0014,1.0167,0.6284,0.001343,0.002,0.0006,0.0001,0.0002,1.7999,0.0014,0.0007,0.0197,0.000289,0.0005,0.001059,1.3929,0.0015,0.001506,0.0001,0.0006,0.0056,0.0042,0.8287,0.000179,0,0.009,0.00025,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6172021,POCIS ,2-TVFF21,TVFF21-011P,0.0005,0.000723,0.005,0.0033,0.0055,0.0021,0.025,0.0025,0.0013,0.000222,0.025,1.4435,0,1.0522,0,0.0004,0.002225,2.4422,0.0002,0,1.0522,0.0013,1.0166,0.6282,0.001343,0.0005,0.0003,0.000153,0,0.0001,0.0013,0.0016,0.0079,0.000289,0.0001,1.4218,1.3932,0.0004,0,0.000883,0.0004,0.0022,0.0023,0,0.000179,0,0.003,0.00025,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,6172021,POCIS ,3-TVFF21,TVFF21-012P,0.0008,0.000723,0.0078,0.003,0.0055,0.0008,0.025,0.0025,0.0011,0.0001,0.0217,1.4446,1.8088,0.001205,0.004119,0.0008,0.002225,2.4421,0,0.0011,0.001205,0.0008,0.008327,0.6285,0.001343,0.001,0.0001,0,0.004119,0.0001,0.0005,0.0006,0.0044,0.0123,0,0.001059,1.393,0.000582,0,0.000883,0.0001,0.0009,0.003,0,0.000179,0.000618,0.0015,0.00025,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6172021,POCIS ,4-TVFF21,TVFF21-013P,0.0015,0.000723,0.0043,0.000285,0.0053,0.000185,0.025,0.0025,0.0005,0.000222,0.0174,1.4452,1.8089,0.001205,0.004119,0.0009,0.002225,2.4421,0.00007,0.0003,0.001205,0.0007,0.008327,0.6286,0.001343,0.0004,0,0,0.004119,0.0002,0.003962,0.0002,0.002,0.000289,0,0.001059,1.3932,0,0,0.000883,0.001306,0.001288,0.0343,0.000179,0.000179,0.000618,0.0015,0.00025,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6172021,POCIS ,5-TVFF21,TVFF21-014P,0.0007,0.000723,0.0017,0.000285,0.0067,0.0005,0.025,0.0025,0,0.000222,0.0157,0,0.0001,0.001205,0.004119,0.0004,0.0014,2.4421,0.00007,0.0003,0.001205,0.0008,0.008327,0.6287,0.3785,0.0005,0.0004,0.000153,0.004119,1.7999,0.003962,0.0016,0.0012,0.000289,0,0.001059,1.3936,0,0.001506,0.000883,0.001306,0.001288,0.0035,0.000179,0.000179,0.000618,0.0012,0.00025,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,6172021,POCIS ,6-TVFF21,TVFF21-015P,0.003,0.000723,0.00024,0.000285,0.0014,0.000185,0.025,0.0025,0.0007,0.0001,0.029,0,0.0001,1.0525,0.004119,0.0003,0.002225,2.4379,0.00007,0.0002,1.0525,0.0007,1.0167,0.6288,0.001343,0.0016,0.0003,0,0.004119,0.0001,0.0006,0.0003,0.001,0.000289,0.008309,0.001059,1.3937,0,0,0.0004,0.0001,0.001288,0.0031,0.000179,0.000179,0.000618,0.001,0.00025,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6172021,POCIS ,7-TVFF21,TVFF21-016P,0.0005,0.000723,0.0124,0.0081,0.0276,0.000185,0.025,0.0025,0.0003,0.000222,0.0189,1.4299,0.0001,0.001205,0.004119,0.0009,0.0024,2.4424,0.00007,0.0001,0.001205,0.0005,1.0167,0.6289,0.2366,0.0014,0.0001,0.000153,0.004119,0.0001,0.0018,0.0004,0.0008,0.000289,0.008309,0.001059,1.3936,0,0,0.000883,3.5817,0.001288,0.0236,0.000179,0.000179,0.000618,0.0093,0.00025,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,6172021,POCIS ,8-TVFF21,TVFF21-018P,0.0002,0.000723,0.00025,0.000285,0.0008,0.000185,0.025,0.0025,0.0004,0.0001,0.0239,0,0.0001,0.001205,0.004119,0.0002,0.0036,2.4403,0.00007,0.0001,0.001205,0.0008,0.008327,0.6289,0.001343,0.0027,0,0.000153,0.004119,0.000277,0.003962,0.0008,0.0006,0.000289,0.008309,0.001059,1.3932,0,0,0.000883,0.001306,0.001288,0.0023,0.000179,0.000179,0.000618,0.001,0.00025,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6172021,POCIS ,9-TVFF21,TVFF21-017P,0.0004,0.000723,0.0115,0.000285,0.0256,0.000185,0.025,0.0025,0.0001,0.000222,0.0207,1.432,0.0001,1.0525,0.004119,0.0008,0.002225,2.4412,0.00007,0.0001,1.0525,0.0002,0.008327,0.629,1.3614,0.0021,0,0.000153,0.004119,0,0.001,0.0024,0.0003,0.000289,0.008309,0.001059,1.3934,0,0.001506,0.000883,0.0013,0.001288,0.017,0.000179,0.000179,0.000618,0.0071,0.00025,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank6172021,All ,10,6172021,POCIS ,10-TVFF21,Field_Blank6172021,0.0006,0.000723,0.00025,0.000285,0.0003,0.0001,0.025,0.0025,0.0118,0.0016,1.0705,0.0001,0.0001,0.001205,0.0001,0.0001,0.1275,0,0.00007,0.0019,0.001205,0.0249,1.0131,0.6251,0.001343,0.000892,0.0002,0.0005,0.0001,0.0001,0.0005,0.000128,0.0001,0.000289,0,0.001059,0.0002,0.000582,0.001506,0.000883,0.001306,0.001288,0.0005,0.000179,0.000179,0.0002,0.0001,0.00025,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank6172021,All ,10,6172021,POCIS ,10R2-TVFF21,Field_Blank6172021,0.0007,0.000723,0.00025,0.000285,0.001042,0.000185,0.025,0.0025,0.0015,0.000222,0.0002,0,0.000667,0.001205,0,0.0001,0.002225,0.000895,0,0.00032,0.001205,0.0009,0.008327,0.6289,0.001343,0.000892,0,0.0002,0,0.0001,0.003962,0.000128,0.00025,0.000289,0.008309,0.001059,0.001059,0.000582,0.001506,0.000883,0.001306,0.001288,0,0.000179,0.000179,0,0.000499,0.00025,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,6292021,POCIS ,11-TVFF21,TVFF21-019/020P,0.0019,0.000723,0.00025,0.000285,0.0056,0.000185,0.025,0.0025,0.0005,0.0002,0.0228,0,0.0001,1.0523,0,0.0001,0.0023,2.4399,0.00007,0.0001,1.0523,0.0002,0.008327,0.629,0.001343,0.002,0.0001,0,0,0,0.0015,0.0003,0.0003,0.000289,0.008309,0.001059,1.3943,0.000582,0.001506,0.000883,0,0.001288,0.0198,0.000179,0.000179,0.000618,0.0012,0.00025,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6292021,POCIS ,12-TVFF21,TVFF21-021/022P,0.008,0.000723,0.00025,0.0016,0.0056,0.000185,0.025,0.0025,0.0004,0.000222,0.1756,1.4392,0.0003,1.0525,0,0.0003,0.0033,2.4366,0.00007,0,1.0525,0.0002,0.008327,0.629,0.001343,0.0021,0.0002,0.000153,0,0.000277,0.0013,0.0007,0.0003,0.000289,0,0.001059,1.394,0,0,0.000883,0.0004,0.001288,0.0033,0.000179,0.000179,0.000618,0.007,0.00025,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,6292021,POCIS ,13-TVFF21,TVFF21-023/024P,0.0521,0.000723,0.00025,0.000285,0.0069,0.000185,0.025,0.0025,0.0004,0.000222,0.1171,1.4433,0.0002,0.001205,0.004119,0.0003,0.0032,2.4356,0.00007,0.0001,0.001205,0.000334,1.0166,0.0025,0.001343,0,0.000892,0.000153,0.004119,0.0001,0.0013,0.0006,0.0002,0.000289,0,0.001059,1.3937,0.000582,0.0001,0.000883,0.0003,0.001288,0.0128,0.000179,0.000179,0.000618,0.0014,0.00025,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6292021,POCIS ,14-TVFF21,TVFF21-025/026P,0.0005,0.000723,0.00025,0.000285,0.0021,0.000185,0.025,0.0025,0.0001,0.0001,0.1151,1.4429,0.0002,1.0523,0.004119,0.0002,0.002225,2.4288,0.00007,0,1.0523,0,1.0166,0.629,0.001343,0.0046,0,0,0.004119,0.0001,0.001,0.0004,0.00025,0.000289,0.008309,0.001059,1.3935,0,1.5612,0.000883,0.001306,0.001288,0.002,0.000179,0.000179,0.000618,0.0003,0.00025,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6292021,POCIS ,15-TVFF21,TVFF21-027/028P,0.0068,0.000723,0.00025,0.000285,0.0033,0.000185,0.025,0.0025,0.0003,0.0001,0.1372,1.4423,0.0001,0.001205,0.004119,0.0002,0.002225,0.0194,0.00007,0.0001,0.001205,0.0001,1.0166,0.629,1.1111,0.006,0.0001,0.000153,0.004119,0.0001,0.002,0.0013,0.00025,0.000289,0.008309,0.001059,1.3932,0.000582,1.5608,0.000883,0.001306,0.001288,0.0034,0.000179,0.000179,0.000618,0.0007,0.00025,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,6292021,POCIS ,16-TVFF21,TVFF21-029/030P,0.0007,0.000723,0.00025,0.000285,0.0037,0.000185,0.025,0.0025,0.0002,0.000222,0.1187,0,0.0001,1.0524,0.004119,0.0001,0.002225,0.0244,0.00007,0.0001,1.0524,0.0002,0.008327,0.629,0.001343,0.0068,0,0,0.004119,0.0001,0.0033,0.001,0.0001,0.000289,0.008309,0.001059,1.394,0.000582,1.5595,0.0005,0.001306,0.001288,0.0036,0.000179,0.000179,0.000618,0.0008,0.00025,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6292021,POCIS ,17-TVFF21,TVFF21-031/032P,0.0003,0.000723,0.00025,0.000285,0.0076,0.000185,0.025,0.0025,0,0.000222,0.5951,0.0253,0,1.0522,0.004119,0.0005,0.0031,2.4378,0.00007,0.00032,1.0522,0,1.0166,0.629,1.197,0.0022,0,0.000153,0.004119,0.000277,0.0054,0.0021,0,0.000289,0.008309,0.001059,1.3935,0,0.001506,0.000883,0.001,0.001288,0.0071,0.000179,0.000179,0.000618,0.0084,0.00025,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,6292021,POCIS ,18-TVFF21,TVFF21-033/034P,0.003,0.000723,0.00025,0.000285,0.003,0.000185,0.025,0.0025,0,0.000222,0.381,0,0,1.0521,0.0001,0.0003,0.002225,0.0296,0.00007,0,1.0521,0,1.0166,0.629,0.001343,0.0016,0,0,0.0001,0,0.003962,0.003,0,0.000289,0.0003,0.001059,1.3928,0,0,0.000883,0.001306,0.001288,0.0057,0.000179,0.000179,0.000618,0.0006,0.00025,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6292021,POCIS ,19-TVFF21,TVFF21-035/036P,0.0004,0.000723,0.00025,0.000285,0.0069,0.000185,0.025,0.0025,0.0003,0.000222,0.3915,0.0182,0,1.0523,0.004119,0.0004,0.002225,2.4358,0.00007,0.0001,1.0523,0.000334,1.0166,0.629,0.001343,0.0016,0.0001,0,0.004119,0.000277,0.0043,0.0012,0,0.000289,0.008309,0.001059,1.3935,0,0,0.000883,0.0009,0.001288,0.0078,0.000179,0.000179,0.000618,0.0063,0.00025,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank6292021,All ,10,6292021,POCIS ,20-TVFF21,Field_Blank6292021,0.0014,0.000723,0.00025,0.000285,0.0081,0.000185,0.025,0.0025,0.0015,0.000222,1.0676,0.0003,0.000667,0.001205,0,0.0005,0.002225,0.0004,0.00007,0.00032,0.001205,0.000334,1.0167,0.0025,0.001343,0,0.0001,0,0,0.000277,0.003962,0.000128,0.0001,0.000289,0,0.001059,0.000488,0.000582,0.001506,0.000883,0.001306,0.001288,0.0221,0.000179,0.000179,0.000618,0.0002,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank6292021,All ,10,6292021,POCIS ,20R2-TVFF21,Field_Blank6292021,0.0014,0.000723,0.00025,0.000285,0.0063,0.000185,0.025,0.0025,0.0008,0.000222,0.0001,0,0.000667,0.001205,0,0.0005,0.002225,0.0003,0.00007,0.00032,0.001205,0.000334,0.008327,0.0025,0.001343,0,0.0003,0,0,0.000277,0.003962,0.000128,0.0001,0.000289,0,0.001059,0.000488,0.000582,0.001506,0.000883,0.001306,0.001288,0.02,0.000179,0.000179,0.000618,0.000499,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,7152021,POCIS ,81-TVFF21,TVFF21-055/056,0.0001,0.000723,0.00025,0.000285,0.0206,0.000185,0.025,0.0025,0.0013,0.0001,0.0472,0.000446,0,0,0.004119,0.0004,0.002225,0.0039,0.00007,0.0001,0,0.000334,0.008327,0.6332,0.001343,0.0019,0.000114,0,0.004119,0.000277,0.003962,0.0015,0.008,0.000289,0.008309,0.001059,0.0032,3.2739,0.001506,0.000883,0,0.001288,0.001,0.000179,0.000179,0.000618,0.0011,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,7152021,POCIS ,82-TVFF21,TVFF21-057/058,0.0005,0.000723,0.00025,0.000285,0.0442,0.000185,0.025,0.0025,0.0008,0.000222,0.0539,0.0092,0.0001,0.001205,0.004119,0.0009,0.002225,0.004,0.00007,0.0001,0.001205,0,1.0104,0.6332,0.001343,0.0045,0.0005,0.000153,0.004119,0.000277,0.3973,0.0007,0.0027,0.000289,0.008309,0.001059,0.0001,0.000582,0.001506,0.000883,0.0002,0.001288,0.0056,0.000179,0.000179,0.000618,0.0001,0.00025,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,7152021,POCIS ,83-TVFF21,TVFF21-059/060,0.001,0.000723,0.0059,0.000285,0.0417,0.000185,0.025,0.0025,0.0007,0.000222,0.0544,0.0064,0.0001,0.001205,0.004119,0.0014,0.002225,0.0024,0.00007,0.0001,0.001205,0.000334,0.008327,0.6332,0.001343,0.0035,0.0003,0.000153,0.004119,0.0001,0.003962,0.0004,0.0011,0.000289,0.8399,0.001059,0.0035,0.000582,0.001506,0.000883,0.0001,0.001288,0,0.000179,0.000179,0.000618,0.0002,0.00025,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,7152021,POCIS ,84-TVFF21,TVFF21-061/062,0.0007,0.000723,0.00025,0.000285,0.0291,0.000185,0.025,0.0025,0.0008,0.0002,0.0388,0.0022,0.0002,0.001205,0.004119,0.0011,0.002225,0.0035,0.00007,0.00032,0.001205,0.000334,0.008327,0.6332,0.001343,0.001,0.0007,0.000153,0.004119,0.0001,0.003962,0.0007,0.0006,0.000289,0.008309,0.001059,0.0029,3.2739,0.001506,0.000883,0.001306,0.001288,0.002,0,0.000179,0.000618,0.0005,0.00025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,7152021,POCIS ,85-TVFF21,TVFF21-063/064,0.0006,0.000723,0.00025,0.000285,0.0186,0.000185,0.025,0.0025,0.0009,0.000222,0.0361,0.002,0.0002,0.001205,0.004119,0.0005,0.002225,0.0032,0.00007,0.00032,0.001205,0.000334,0.008327,0.6332,0.001343,0.0009,0.0001,0.000153,0.004119,0.0001,0.003962,0.0007,0.0002,0.000289,0.008309,0.001059,0.0022,0.000582,0.001506,0.000883,0,0.001288,0.0073,0.000179,0.000179,0.000618,0.0004,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
