Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type,ÊKyle_Sample_ID,Running_Number,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,7152021,POCIS ,86-TVFF21,TVFF21-065/066,0.0006,0.000723,0.00025,0.00024,0.0047,0.0008,0.025,0.0025,0.0007,0.0001,0.0689,0.000446,0.0001,0.001205,0.004119,0.0004,0.002225,0.0102,0.00007,0.0001,0.001205,0.000334,0.008327,0.6332,0.001343,0.0016,0,0,0.004119,0.000277,0.3972,0.0004,0,0.0623,0.008309,0.001059,0.0017,0.000582,0.0002,0.0004,0.001,0.001288,0.0013,0.000179,0.000179,0.000618,0.0004,0.00025,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,7152021,POCIS ,87-TVFF21,TVFF21-067/068,0.0003,0.000723,0.00025,0.00024,0.0397,0.000185,0.025,0.0025,0.0001,0.000222,0.0693,0.0309,0,0.001205,0.004119,0.0011,0.2328,0.0035,0.00007,0.00032,0.001205,0.000334,1.0101,0.6332,0.1679,0.0118,0.0001,0.000153,0.004119,0.000277,0.396,0.0005,0.0001,0.000289,0.008309,0.001059,0.0003,0.000582,0.001506,0.000883,0.001,0.001288,0.0103,0.000179,0.000179,0.000618,0.0118,0.00025,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,7152021,POCIS ,88-TVFF21,TVFF21-069/070,0.0005,0.000723,0.00025,0.00024,0.0066,0.000185,0.025,0.0025,0.0001,0.000222,0.0757,0.000446,0.0001,0.001205,0.004119,0.0004,0.002225,0.0202,0.00007,0.0001,0.001205,0.000334,1.0103,0.6332,0.001343,0.0015,0.0001,0.000153,0.004119,0.000277,0.003962,0.0009,0.0001,0.000289,0.008309,0.001059,0.0026,0.000582,0.001506,0.000883,0.001306,0.001288,0.0058,0,0.000179,0.000618,0.0011,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,7152021,POCIS ,89-TVFF21,TVFF21-071/072,0.0004,0.0001,0.00025,0.00024,0.0289,0.000185,0.025,0.0025,0.0001,0.000222,0.0732,0.0238,0.0001,0,0.004119,0.0009,0.2333,0.0076,0.00007,0.0001,0,0.000334,0.008327,0.6332,0.6819,0.0113,0.0001,0,0.004119,0.000277,0.3966,0.0002,0.00025,0.000289,0.008309,0.001059,0.0002,0.000582,0.001506,0.000883,0.0006,0.001288,0.0174,0.000179,0.000179,0.000618,0.0093,0.00025,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank10142021,All ,10,7152021,POCIS ,90-TVFF21,Field_Blank10142021,0.0004,0.000723,0.00025,0.00024,0.001042,0.000185,0.025,0.0025,0.0024,0.000222,0.0017,0.0003,0.0001,0.001205,0.004119,0.0003,0.002225,0.000895,0.00007,0.00032,0.001205,0.001,0.008327,0.6329,0.001343,0.000892,0,0,0.004119,0,0.3978,0.000128,0,0.000289,0.008309,0.001059,0.0001,0.000582,0.001506,0.000883,0.001306,0.001288,0.0005,0.000179,0.000179,0.000618,0,0.00025,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,7302021,POCIS ,21-TVFF21,TVFF21-073/074P,0.0063,0.000723,0.00025,0.00024,0.0023,0.000185,0.025,0.0025,0.0003,0.000222,0.0167,0.000446,0,1.0524,0.004119,0.0004,0.002225,2.4414,0.00007,0.00032,1.0524,0.000334,0.008327,0.0025,0.001343,0.0015,0,0.000153,0.004119,0.000277,0.003962,0.0004,0,0.000289,0.008309,0.001059,1.3939,0.000582,0.001506,0.000883,0,0.001288,0.0029,0.000179,0.000179,0.000618,0.000499,0.00025,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,7302021,POCIS ,22-TVFF21,TVFF21-075/076P,0.0126,0.000723,0.00025,0.00024,0.0086,0.000185,0.025,0.0025,0.0002,0.0001,0.0513,1.4383,0.0001,0.001205,0.004119,0.0006,0.0019,2.4401,0.00007,0,0.001205,0.000334,0.008327,0.629,0.001343,0.0014,0.0003,0.000153,0.004119,0.000277,0.0007,0.0006,0.0001,0.000289,0,0.001059,1.3934,0.000582,0.001506,0.000883,0.0003,0.001288,0.003,0.000179,0.000179,0.000618,0.0015,0.00025,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,7302021,POCIS ,23-TVFF21,TVFF21-077/078P,0.0082,0.000723,0.0059,0.00024,0.005,0.000185,0.025,0.0025,0.000403,0.000222,0.0412,1.4409,0.0001,0.001205,0.004119,0.0009,0.002225,2.4411,0.00007,0.0003,0.001205,0.000334,0.008327,0.629,0.001343,0.001,0.0001,0.000153,0.004119,0.0001,0.0011,0.000128,0.0001,0.000289,0.0004,0.001059,1.3929,0.000582,0,0.000883,0.001306,0.001288,0.0055,0.000179,0.000179,0.000618,0.0008,0.00025,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,7302021,POCIS ,23R2-TVFF21,TVFF21-077/078P,0.0084,0.000723,0.0067,0.00025,0.0049,0.000185,0.025,0.0025,0.0002,0.000222,0.0505,1.4407,0.0001,0.001205,0.004119,0.0009,0.002225,2.441,0.00007,0,0.001205,0.000334,0.008327,0.629,0.001343,0.000892,0.0001,0,0.004119,0.0001,0.0008,0.0004,0.0005,0.000289,0.0001,0.001059,1.393,0.000582,0,0.000883,0,0.001288,0.0055,0.000179,0.000179,0.000618,0.0007,0.00025,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,7302021,POCIS ,24-TVFF21,TVFF21-079/080P,0.0242,0.000723,0.00025,0.00025,0.0042,0.000185,0.025,0.0025,0.0003,0.0001,0.0306,1.4447,0,0.001205,0.004119,0.0006,0.002225,2.44,0.00007,0,0.001205,0,0.008327,0.0025,0.001343,0.001,0.0001,0,0.004119,0.0001,0.003962,0.0008,0.0001,0.000289,0,0.001059,1.3939,0.000582,0.0001,0.000883,0.0002,0.001288,0.0077,0.000179,0.000179,0.000618,0.0006,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,7302021,POCIS ,25-TVFF21,TVFF21-081/082P,0.0021,0.000723,0.00025,0.00025,0.003,0.000185,0.025,0.0025,0,0.000222,0.0488,1.445,1.8093,0.001205,0.004119,0.0004,0.002225,2.437,0.00007,0.0001,0.001205,0.000334,1.0166,0.629,0.001343,0.0016,0.000114,0,0.004119,0.0001,0.0012,0.0004,0,0.000289,0,0.001059,1.3935,0,0.0002,0.0001,0.0003,0.001288,0.0044,0.000179,0.000179,0,0.0016,0.00025,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,7302021,POCIS ,26-TVFF21,TVFF21-083/084P,0.0033,0.000723,0.00025,0.00025,0.006,0.000185,0.025,0.0025,0.0002,0.000222,0.057,0,0,1.0523,0.004119,0.0005,0.002225,0.0177,0.00007,0.0001,1.0523,0.000334,1.0167,0.0025,0.001343,0.0022,0,0,0.004119,0.000277,0.0028,0.0004,0,0.000289,0.0001,0.001059,1.3933,0.000582,1.5606,0.0006,3.5803,0.001288,0.0119,0.000179,0.000179,0.000618,0.0094,0.00025,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,7302021,POCIS ,27-TVFF21,TVFF21-085/086P,0.0009,0.000723,0.00025,0.00025,0.013,0.000185,0.025,0.0025,0.0001,0.000222,0.0869,1.4314,0,0.001205,0.004119,0.0006,0.002225,2.4412,0.00007,0.0001,0.001205,0.000334,0.008327,0.0025,0.001343,0.0024,0.0001,0.000153,0.004119,0.000277,0.0033,0.0004,0,0.000289,0.008309,0.001059,1.3941,0,0.001506,0.000883,0.0011,0.0013,0.0198,0.000179,0.000179,0.000618,0.0105,0.00025,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,7302021,POCIS ,28-TVFF21,TVFF21-087/88P,0.0038,0.000723,0.00025,0.0036,0.0064,0.000185,0.025,0.0025,0.0001,0.0001,0.0671,0,0.0001,0.001205,0.004119,0.0009,0.002225,2.4376,0.00007,0,0.001205,0.000334,1.0166,0.629,0.001343,0.0012,0.0001,0.000153,0.004119,0.000277,0.003962,0.0008,0,0.000289,0.008309,0.001059,1.3931,0,0,0.000883,0.001306,0.001288,0.0206,0.000179,0.000179,0.000618,0.0012,0.00025,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,7302021,POCIS ,29-TVFF21,TVFF21-089/90P,0.0015,0.000723,0.00025,0.00025,0.0097,0.000185,0.025,0.0025,0.0001,0.0002,0.1002,1.431,1.81,0.001205,0.004119,0.0006,0.002225,2.4401,0.00007,0.0001,0.001205,0.000334,1.0166,0.0025,0.1797,0.0023,0.0001,0.000153,0.004119,0.000277,0.0042,0.0003,0,0.0239,0.008309,0.001059,1.394,0,0.001506,0.000883,0.0004,0.001288,0.0201,0.000179,0.000179,0.000618,0.009,0.00025,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank7302021,All ,10,7302021,POCIS ,30-TVFF21,Field_Blank7302021,0.0199,0.000723,0.00025,0.00025,0.0007,0.000185,0.025,0.0025,0.0013,0.000222,1.0703,0.0003,0.000667,0.001205,0,0.0003,0.002225,0,0.00007,0.00032,0.001205,0.000334,0.008327,0.629,0.001343,0,0.0002,0,0,0.000277,0.003962,0.000128,0.00025,0.000289,0.0009,0.001059,0.000488,0.000582,0.001506,0.000883,0.001306,0.001288,0.0006,0.000179,0.000179,0.000618,0.000499,0.00025,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank7302021,All ,10,7302021,POCIS ,30R2-TVFF21,Field_Blank7302021,0.0207,0.000723,0.00025,0.00025,0.0006,0.000185,0.025,0.0025,0.0008,0.000222,0,0.000446,0.000667,0.001205,0,0.0003,0.002225,0.000895,0,0.00032,0.001205,0.000334,0.008327,0.0025,0.001343,0,0.0002,0,0,0.000277,0.003962,0.000128,0.00025,0.000289,0.0011,0.001059,0.000488,0.000582,0.001506,0.000883,0.001306,0.001288,0.0003,0.000179,0.000179,0.000618,0.000499,0.00025,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,8122021,POCIS ,31-TVFF21,TVFF21-0091P,0.0013,0.000723,0.00025,0.00025,0.006,0.000185,0.025,0.0025,0.0002,0.000222,0.0205,0,0,1.0525,0.004119,0.0003,0.0019,2.4392,0.00007,0.0001,1.0525,0.000334,1.0166,0.0025,0.092,0.0028,0.000114,0.000153,0.004119,0.000277,0.003962,0.0003,0,0.000289,0.0004,0.001059,1.393,0,0,0.000883,0.001306,0.001288,0.0014,0.000179,0.000179,0.000618,0.000499,0.00025,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,8122021,POCIS ,32-TVFF21,TVFF21-0092P,0.0023,0.000723,0.00025,0.0046,0.0213,0.000185,0.025,0.0025,0.0002,0.0002,0.0315,1.4401,0.0001,0.001205,0.004119,0.0003,0.002225,2.441,0.00007,0,0.001205,0.000334,0.008327,0.0025,0.001343,0.0014,0.0001,0.000153,0.004119,0.000277,0.0008,0.0002,0,0.000289,0.008309,0.001059,1.3929,0.000582,0,0.000883,0.0003,0.001288,0.0026,0.000179,0.000179,0.000618,0.0014,0.00025,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,8122021,POCIS ,33-TVFF21,TVFF21-0093P,0.0006,0.000723,0.0064,0.00025,0.0152,0.000185,0.025,0.0025,0.0002,0.000222,0.027,1.4429,1.8079,1.0524,0,0.001,0.002225,0,0.00007,0.0001,1.0524,0.000334,0.008327,0.629,0.001343,0.0011,0,0,0,0.000277,0.003962,0.0012,0,0.000289,0.0001,0.001059,1.3925,0.000582,0,0.000883,0.0001,0.001288,0.0024,0.000179,0.000179,0.000618,0.001,0.00025,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,8122021,POCIS ,34-TVFF21,TVFF21-0094P,0.0016,0.000723,0.0025,0.00025,0.0112,0.000185,0.025,0.0025,0,0.0001,0.0253,1.4444,0,0.001205,0.004119,0.0024,0.0024,2.4407,0.00007,0,0.001205,0.000334,1.0167,0.0025,0.001343,0.000892,0,0.000153,0.004119,0.0002,0.003962,0.0003,0,0.000289,0.008309,0.001059,1.3929,0.000582,0.001506,0.000883,0.001306,0.001288,0.0041,0.000179,0.000179,0.000618,0.001,0.00025,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,8122021,POCIS ,35-TVFF21,TVFF21-0095P,0.0016,0.000723,0.00025,0.00025,0.0061,0.000185,0.025,0.0025,0.0001,0.000222,0.0258,1.4442,0.0001,0.001205,0.004119,0.0004,0.002225,2.4406,0.00007,0,0.001205,0.000334,1.0166,0.0025,0.001343,0.0008,0.0001,0,0.004119,0.0001,0.003962,0.0017,0.00025,0.000289,0.008309,0.001059,1.3931,0,0.001506,0.000883,0.001306,0.001288,0.001,0.000179,0.000179,0.000618,0.000499,0.00025,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,8122021,POCIS ,36-TVFF21,TVFF21-0096P,0.0005,0.000723,0.00025,0.00025,0.0014,0.000185,0.025,0.0025,0,0,0.0357,0,1.8102,1.0525,0.004119,0.0001,0.0013,2.4374,0.00007,0.0001,1.0525,0.000334,1.0167,0.0025,0.2513,0.0024,0,0.000153,0.004119,0,0.0006,0.0006,0,0.000289,0.008309,0.001059,1.3942,0,0,0.0006,0.0003,0.001288,0.0026,0.000179,0.000179,0.000618,0.0014,0.00025,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,8122021,POCIS ,37-TVFF21,TVFF21-0097P,0.0019,0.000723,0.0048,0.00025,0.0375,0.000185,0.025,0.0025,0.0001,0.0001,0.0285,0.0209,0.0001,0.001205,0.004119,0.0005,0.0021,2.4413,0.00007,0,0.001205,0.000334,0.008327,0.0025,0.4003,0.0028,0.000114,0.000153,0.004119,0.000277,0.0021,0.0008,0,0.000289,0,0.001059,1.394,0.000582,0.001506,0.000883,0.0013,0.001288,0.0229,0.000179,0.000179,0.000618,0.0107,0.00025,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,8122021,POCIS ,38-TVFF21,TVFF21-0098P,0.008,0.000723,0.00025,0.00025,0.0008,0.000185,0.025,0.0025,0.0001,0.0001,0.0314,0.000446,0,0.001205,0.004119,0.0002,0.002225,2.439,0.00007,0.0001,0.001205,0.000334,1.0166,0.629,0.001343,0.0029,0.000114,0.000153,0.004119,0.000277,0.003962,0.0012,0,0.000289,0,0.001059,1.3934,0,0,0.000883,0.001306,0.001288,0.0034,0.000179,0.000179,0.000618,0.0007,0.00025,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,8122021,POCIS ,39-TVFF21,TVFF21-0099P,0.0017,0.000723,0.0068,0.00025,0.0247,0.000185,0.025,0.0025,0,0.000222,0.0325,1.431,0.0001,0.001205,0.004119,0.0006,0.002225,2.4409,0.00007,0.0001,0.001205,0,1.0167,0.629,0.2858,0.0022,0.0001,0.000153,0.004119,0,0.0027,0.0004,0,0.000289,0,0.001059,1.3934,0.000582,0,0.000883,0.0008,0.001288,0.0187,0.000179,0.000179,0.000618,0.0072,0.00025,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_Blank8122021,All ,10,8122021,POCIS ,40-TVFF21,Field_Blank8122021,0.0007,0.000723,0.00025,0.00025,0.001042,0.000185,0.025,0.0025,0.0018,0.000222,1.0703,0.0002,0.000667,0.001205,0,0.0001,0.002225,0.000895,0.00007,0,0.001205,0.0009,0.008327,0.629,0.001343,0.000892,0.000114,0.0001,0,0.000277,0.003962,0.000128,0.00025,0.000289,0,0.001059,0.0003,0.000582,0.001506,0.000883,0.001306,0.001288,0.0001,0.000179,0.000179,0.000618,0.000499,0.00025,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,8272021,POCIS ,41-TVFF21,TVFF21-100P,0.0059,0.000723,0.00025,0.0115,0.0061,0.0129,0.025,0.0025,0.0032,0.0001,0.0691,0.0001,0.0036,0.0021,0.0002,0.0004,0.002225,0.0043,0.002,0.0194,0.0021,0.0078,0.008327,0.6314,0.1918,0.0028,0.0001,0.0006,0.0002,0.0007,0.0038,0.0009,0.0239,0.002,0.0003,0.001059,0.0029,3.1437,0.0001,0.000883,0.0021,0.0012,0.0034,0,0.000179,0,0.017,0.00025,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
